name;lat;long;Casos;data
Aguas Claras;-15.832237;-48.022065;34;31/03/2020
Recanto das Emas;-15.906663;-48.074107;1;31/03/2020
Samambaia;-15.882187;-48.146469;5;31/03/2020
Taguatinga;-15.79111;-48.054143;7;31/03/2020
Vicente Pires;-15.805069;-48.026975;6;31/03/2020
Plano Piloto;-15.793186;-47.883522;99;31/03/2020
Sudoeste/Octogonal;-15.802361;-47.929587;31;31/03/2020
Cruzeiro;-15.790565;-47.938205;4;31/03/2020
Lago Norte;-15.723105;-47.827116;10;31/03/2020
Lago Sul;-15.896078;-47.872865;55;31/03/2020
Varjao;-15.709532;-47.877339;0;31/03/2020
Candangolandia;-15.85217;-47.950246;0;31/03/2020
Parkway;-15.911893;-47.962342;6;31/03/2020
Guara;-15.81806;-47.972968;15;31/03/2020
Nucleo Bandeirante;-15.870535;-47.968752;2;31/03/2020
Riacho Fundo I;-15.884824;-48.016755;1;31/03/2020
Riacho Fundo II;-15.8976;-48.047807;0;31/03/2020
SCIA (Estrutural);-15.781289;-47.991844;0;31/03/2020
SAAN;-15.761306;-47.936099;0;31/03/2020
Fercal;-15.60192;-47.868656;0;31/03/2020
Planaltina;-15.641463;-47.527816;0;31/03/2020
Sobradinho I;-15.648785;-47.799027;7;31/03/2020
Sobradinho II;-15.643451;-47.823623;1;31/03/2020
Gama;-16.010082;-48.070632;5;31/03/2020
Santa Maria;-16.019745;-47.993045;2;31/03/2020
Jardim Botanico;-15.878153;-47.807862;7;31/03/2020
Itapoa;-15.749219;-47.769377;0;31/03/2020
Paranoa;-15.769777;-47.779425;1;31/03/2020
Sao Sebastiao;-15.971539;-47.73953;3;31/03/2020
Aguas Claras;-15.832237;-48.022065;42;02/04/2020
Recanto das Emas;-15.906663;-48.074107;1;02/04/2020
Samambaia;-15.882187;-48.146469;6;02/04/2020
Taguatinga;-15.79111;-48.054143;7;02/04/2020
Vicente Pires;-15.805069;-48.026975;9;02/04/2020
Plano Piloto;-15.793186;-47.883522;105;02/04/2020
Sudoeste/Octogonal;-15.802361;-47.929587;31;02/04/2020
Cruzeiro;-15.790565;-47.938205;5;02/04/2020
Lago Norte;-15.723105;-47.827116;10;02/04/2020
Lago Sul;-15.896078;-47.872865;57;02/04/2020
Varjao;-15.709532;-47.877339;0;02/04/2020
Candangolandia;-15.85217;-47.950246;0;02/04/2020
Parkway;-15.911893;-47.962342;7;02/04/2020
Guara;-15.81806;-47.972968;17;02/04/2020
Nucleo Bandeirante;-15.870535;-47.968752;2;02/04/2020
Riacho Fundo I;-15.884824;-48.016755;1;02/04/2020
Riacho Fundo II;-15.8976;-48.047807;0;02/04/2020
SCIA (Estrutural);-15.781289;-47.991844;0;02/04/2020
SAAN;-15.761306;-47.936099;0;02/04/2020
Fercal;-15.60192;-47.868656;0;02/04/2020
Planaltina;-15.641463;-47.527816;0;02/04/2020
Sobradinho I;-15.648785;-47.799027;7;02/04/2020
Sobradinho II;-15.643451;-47.823623;1;02/04/2020
Gama;-16.010082;-48.070632;5;02/04/2020
Santa Maria;-16.019745;-47.993045;2;02/04/2020
Jardim Botanico;-15.878153;-47.807862;7;02/04/2020
Itapoa;-15.749219;-47.769377;0;02/04/2020
Paranoa;-15.769777;-47.779425;1;02/04/2020
Sao Sebastiao;-15.971539;-47.73953;3;02/04/2020
Brazlandia;-15.62362;-48.136131;0;02/04/2020
Ceilandia;-15.821453;-48.1949;3;02/04/2020
